ExperimentName,Subject,Gender,Session,Clock.Information,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,List1,List1.Cycle,List1.Sample,Procedure[Block],Running[Block],Trial,Condition,ConResp[Trial],PracStim,PracStim.Cycle,PracStim.Sample,Procedure[Trial],RespK.ACC[Trial],RespK.CRESP[Trial],RespK.DurationError[Trial],RespK.OnsetDelay[Trial],RespK.OnsetTime[Trial],RespK.RESP[Trial],RespK.RT[Trial],RespK.RTTime[Trial],Running[Trial],Scenario[Trial],SoundFile[Trial],Speaker[Trial],SpeakerBlocks,SpeakerBlocks.Cycle,SpeakerBlocks.Sample,SpeakerNum,SubTrial,ConResp[SubTrial],F0Level,F0LevelNum,Procedure[SubTrial],RespK.ACC[SubTrial],RespK.CRESP[SubTrial],RespK.DurationError[SubTrial],RespK.OnsetDelay[SubTrial],RespK.OnsetTime[SubTrial],RespK.RESP[SubTrial],RespK.RT[SubTrial],RespK.RTTime[SubTrial],Running[SubTrial],Scenario[SubTrial],SoundFile[SubTrial],Speaker[SubTrial],SpeakerGender,StimList,StimList.Cycle,StimList.Sample,StimNum
KoreanPoliteness_F0_EQ,1,F,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">223275293464</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-62433660,10/23/14,13:02:43,8:02:43 PM,2,2,1,2,Test,List1,1,,,,,,BlockProc,,,,,,,,,SpeakerBlocks,,,,3,1,1,3,1,8,MidHi,4,TrialProc,0,8,-999999,21,222159,2,1370,223529,StimList,2,08Perc_HiF0_3_2_con.wav,3,M,10,1,1,10
KoreanPoliteness_F0_EQ,1,F,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">223275293464</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-62433660,10/23/14,13:02:43,8:02:43 PM,2,2,1,2,Test,List1,1,,,,,,BlockProc,,,,,,,,,SpeakerBlocks,,,,3,1,1,3,2,8,Lo,1,TrialProc,0,8,-999999,23,226730,2,735,227465,StimList,6,16Perc_LoF0_3_6_con.wav,3,M,29,1,2,29
KoreanPoliteness_F0_EQ,1,F,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">223275293464</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-62433660,10/23/14,13:02:43,8:02:43 PM,2,2,1,2,Test,List1,1,,,,,,BlockProc,,,,,,,,,SpeakerBlocks,,,,3,1,1,3,3,8,MidLo,2,TrialProc,1,8,-999999,27,230234,8,807,231041,StimList,1,08Perc_LoF0_3_1_con.wav,3,M,17,1,3,17
KoreanPoliteness_F0_EQ,1,F,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">223275293464</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-62433660,10/23/14,13:02:43,8:02:43 PM,2,2,1,2,Test,List1,1,,,,,,BlockProc,,,,,,,,,SpeakerBlocks,,,,3,1,1,3,4,8,Hi,5,TrialProc,0,8,-999999,26,234054,2,506,234560,StimList,7,16Perc_HiF0_3_7_con.wav,3,M,6,1,4,6
KoreanPoliteness_F0_EQ,1,F,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">223275293464</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-62433660,10/23/14,13:02:43,8:02:43 PM,2,2,1,2,Test,List1,1,,,,,,BlockProc,,,,,,,,,SpeakerBlocks,,,,3,1,1,3,5,8,MidHi,4,TrialProc,0,8,-999999,19,237507,2,549,238056,StimList,4,08Perc_HiF0_3_4_con.wav,3,M,11,1,5,11
KoreanPoliteness_F0_EQ,1,F,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">223275293464</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-62433660,10/23/14,13:02:43,8:02:43 PM,2,2,1,2,Test,List1,1,,,,,,BlockProc,,,,,,,,,SpeakerBlocks,,,,3,1,1,3,6,8,Lo,1,TrialProc,1,8,-999999,19,241027,8,277,241304,StimList,4,16Perc_LoF0_3_4_con.wav,3,M,27,1,6,27
KoreanPoliteness_F0_EQ,1,F,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">223275293464</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-62433660,10/23/14,13:02:43,8:02:43 PM,2,2,1,2,Test,List1,1,,,,,,BlockProc,,,,,,,,,SpeakerBlocks,,,,3,1,1,3,7,8,MidLo,2,TrialProc,1,8,-999999,22,244780,8,492,245272,StimList,5,08Perc_LoF0_3_5_con.wav,3,M,20,1,7,20
KoreanPoliteness_F0_EQ,1,F,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">223275293464</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-62433660,10/23/14,13:02:43,8:02:43 PM,2,2,1,2,Test,List1,1,,,,,,BlockProc,,,,,,,,,SpeakerBlocks,,,,3,1,1,3,8,8,Lo,1,TrialProc,0,8,-999999,22,248300,2,588,248888,StimList,7,16Perc_LoF0_3_7_con.wav,3,M,30,1,8,30
KoreanPoliteness_F0_EQ,1,F,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">223275293464</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-62433660,10/23/14,13:02:43,8:02:43 PM,2,2,1,2,Test,List1,1,,,,,,BlockProc,,,,,,,,,SpeakerBlocks,,,,3,1,1,3,9,8,Lo,1,TrialProc,0,8,-999999,19,251937,2,447,252384,StimList,9,16Perc_LoF0_3_9_con.wav,3,M,31,1,9,31
KoreanPoliteness_F0_EQ,1,F,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2857431</Frequency><Timestamp dt:dt=""r8"">223275293464</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2014-10-23T20:02:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",59.944,1,-62433660,10/23/14,13:02:43,8:02:43 PM,2,2,1,2,Test,List1,1,,,,,,BlockProc,,,,,,,,,SpeakerBlocks,,,,3,1,1,3,10,8,MidLo,2,TrialProc,0,8,-999999,12,255390,2,738,256128,StimList,7,08Perc_LoF0_3_7_con.wav,3,M,22,1,10,22
